taxid|organism_name|assembly_accession|intraspecific_name|status
1006000|Kluyvera ascorbata ATCC 33433|GCF_000735365.1|strain=ATCC 33433|active
1006003|Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681|GCF_000312465.1|strain=MTCC 1658|active
1006003|Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681|GCF_000734905.1|strain=ATCC 8090|skipped
1006003|Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681|GCF_000759735.1|strain=NBRC 12681|skipped
1006003|Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681|GCF_011064845.1|strain=ATCC 8090|skipped
1006004|Buttiauxella agrestis ATCC 33320|GCF_000735355.1|strain=ATCC 33320|active
1006155|Listeria weihenstephanensis|GCF_003534205.1|strain=WS 4560|active
1006576|Defluviitoga tunisiensis|GCF_000953715.1||active
1006623|Aeromonas cavernicola|GCF_002795305.1|strain=DSM 24474|active
1007092|Microlunatus terrae|GCF_013408315.1|strain=DSM 26486|retired_Oct21
1007096|Oscillibacter ruminantium GH1|GCF_000307265.1|strain=GH1|active
1007098|Deinococcus daejeonensis|GCF_014647175.1|strain=JCM 16918|active
1007099|Pseudomonas kuykendallii|GCF_900106975.1|strain=NRRL B-59562|active
1007511|Sphingobium limneticum|GCF_008710155.1|strain=DSM 25076|active
1007511|Sphingobium limneticum|GCF_008710165.1|strain=KACC 19283|skipped
1007511|Sphingobium limneticum|GCF_008710205.1|strain=KACC 19284|skipped
1007676|Companilactobacillus ginsenosidimutans|GCF_001050475.1|strain=EMML 3041|active
1008305|Fervidobacterium thailandense|GCF_001719065.1|strain=FC2004|active
1008308|Fusibacter tunisiensis|GCF_016908355.1|strain=DSM 24436|active
1008457|Myroides injenensis M09-0166|GCF_000246945.1|strain=M09-0166|active
1008459|Taylorella asinigenitalis MCE3|GCF_000226625.1|strain=MCE3|active
100884|Coprobacillus cateniformis|GCF_000269565.1|strain=D6|active
100884|Coprobacillus cateniformis|GCF_009767585.1|strain=RCA1-24|skipped
1009370|Acetonema longum DSM 6540|GCF_000219125.1|strain=DSM 6540|active
1009852|Comamonas testosteroni ATCC 11996|GCF_000241525.1|strain=ATCC 11996|active
100|Ancylobacter aquaticus|GCF_004339465.1|strain=DSM 101|active
1010610|Methylobacterium gnaphalii|GCF_007992215.1|strain=NBRC 107716|active
1010611|Lutimaribacter litoralis|GCF_900182725.1|strain=DSM 29506|active
101070|Rummeliibacillus pycnus|GCF_002884495.1|strain=DSM 15030|active
1010|Sphingobacterium mizutaii|GCF_900102835.1|strain=DSM 11724|active
1010|Sphingobacterium mizutaii|GCF_900187125.1|strain=NCTC12149|skipped
101383|Cryomorpha ignava|GCF_010686655.1|strain=QSSC 1-22|active
1014|Weeksella virosa|GCF_900637795.1|strain=NCTC11634|active
101564|Pseudomonas alcaliphila|GCF_900101755.1|strain=JCM 10630|active
101571|Burkholderia ubonensis|GCF_001718655.1|strain=MSMB2035|active
1015|Bergeyella zoohelcum|GCF_900445655.1|strain=NCTC11660|active
1017177|Gluconacetobacter tumulicola|GCF_014174215.1|strain=LMG 27725|active
1017181|Gluconacetobacter asukensis|GCF_014174375.1|strain=LMG 27724|active
1017270|Fictibacillus enclensis|GCF_001457035.1|strain=NIO-1003|active
1017270|Fictibacillus enclensis|GCF_900094955.1|strain=NIO-1003|skipped
1017273|Domibacillus enclensis|GCF_000966185.1|strain=NIO-1016|active
1017273|Domibacillus enclensis|GCF_002237775.1|strain=DSM 25145|skipped
1017273|Domibacillus enclensis|GCF_900156125.1|strain=NIO-1016|skipped
1017277|Exiguobacterium enclense|GCF_001456895.1|strain=NIO-1109|active
1017277|Exiguobacterium enclense|GCF_900096925.1|strain=NIO-1109|skipped
1017|Capnocytophaga gingivalis|GCF_002302415.1|strain=H1496|active
1019|Capnocytophaga sputigena|GCF_002302495.1|strain=D1179|active
1019|Capnocytophaga sputigena|GCF_900446695.1|strain=NCTC11653|skipped
102618|Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504|GCF_000258845.1|strain=CCUG 17874|active
102618|Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504|GCF_900478295.1|strain=NCTC 11637|skipped
102684|Streptococcus infantarius|GCF_016127275.1|strain=FDAARGOS_1019|active
102684|Streptococcus infantarius|GCF_900459445.1|strain=NCTC13760|skipped
1026882|Methylophaga aminisulfidivorans MP|GCF_000214595.1|strain=MP|active
1027249|Gracilibacillus kekensis|GCF_900143085.1|strain=CGMCC 1.10681|active
1027273|Endozoicomonas montiporae|GCF_000722565.1|strain=LMG 24815|active
1027360|Edwardsiella ictaluri ATCC 33202|GCF_000264785.1|strain=ATCC 33202|active
1027371|Gordonia alkanivorans NBRC 16433|GCF_000225505.1|strain=NBRC 16433|active
1027633|Enteractinococcus coprophilus|GCF_006716305.1|strain=DSM 24083|active
1028307|Klebsiella aerogenes KCTC 2190|GCF_000215745.1|strain=KCTC 2190|active
102862|Proteus penneri|GCF_001049955.1|strain=CSUR P1867|active
102862|Proteus penneri|GCF_003144535.1|strain=ATCC 33519|skipped
102862|Proteus penneri|GCF_016028675.1|strain=FDAARGOS_874|skipped
102862|Proteus penneri|GCF_900455015.1|strain=NCTC12737|skipped
1028742|Pontixanthobacter gangjinensis|GCF_009827545.1|strain=JCM 17802|active
1028743|Arenibacter hampyeongensis|GCF_002909255.1|strain=JCM 17788|active
1028745|Aestuariibaculum suncheonense|GCF_014596935.1|strain=SC17|active
1028746|Gramella aestuarii|GCF_009735585.1|strain=BS12|active
1028752|Shewanella aestuarii|GCF_014647215.1|strain=JCM 17801|active
1028800|Neorhizobium galegae bv. orientalis str. HAMBI 540|GCF_000731315.1|strain=HAMBI 540|active
1028|Marivirga sericea|GCF_900177665.1|strain=DSM 4125|active
1029756|Hyphomicrobium nitrativorans NL23|GCF_000503895.1|strain=NL23|active
102|Polaribacter glomeratus|GCF_002954665.1|strain=ATCC 43844|active
102|Polaribacter glomeratus|GCF_007997115.1|strain=ACAM 171|skipped
1030841|Neisseria wadsworthii 9715|GCF_000227765.1|strain=9715|active
1031224|Chitinophaga oryziterrae|GCF_009758125.1|strain=JCM 16595|active
1031537|Blastopirellula cremea|GCF_003335485.1|strain=HEX-1 MGV|active
1031538|Neptunomonas concharum|GCF_006148955.1|strain=JCM 17730|active
1031538|Neptunomonas concharum|GCF_008630635.1|strain=JCM17730|skipped
1031541|Tropicimonas sediminicola|GCF_900188335.1|strain=DSM 29339|active
1031542|Campylobacter volucris|GCF_008245045.1|strain=LMG 24380|active
1031542|Campylobacter volucris|GCF_008801985.1|strain=CCUG 57498|skipped
1031564|Campylobacter insulaenigrae NCTC 12927|GCF_000816185.1|strain=NCTC 12927|active
1031594|Extensimonas vulgaris|GCF_003337425.1|strain=DSM 100911|active
1031594|Extensimonas vulgaris|GCF_007830535.1|strain=CGMCC 1.10977|skipped
1031594|Extensimonas vulgaris|GCF_007996985.1|strain=S4|skipped
1031733|Campylobacter upsaliensis RM3940|GCF_013372245.1|strain=RM3940|active
1031753|Campylobacter lanienae NCTC 13004|GCF_002139935.1|strain=NCTC 13004|active
1032066|Campylobacter sputorum bv. paraureolyticus LMG 11764|GCF_002220755.1|strain=LMG 17589|active
1032070|Arcobacter cryaerophilus ATCC 43158|GCF_003660105.1|strain=ATCC 43158|active
1032070|Arcobacter cryaerophilus ATCC 43158|GCF_006165035.1|strain=LMG 9904|skipped
1032238|Malaciobacter mytili LMG 24559|GCF_003346775.1|strain=LMG 24559|active
1032238|Malaciobacter mytili LMG 24559|GCF_004116555.1|strain=CECT 7386|skipped
1032239|Arcobacter skirrowii CCUG 10374|GCF_003544835.1|strain=CCUG 10374|active
1032239|Arcobacter skirrowii CCUG 10374|GCF_004115735.1|strain=LMG 6621|skipped
1032239|Arcobacter skirrowii CCUG 10374|GCF_008802155.1|strain=CCUG 10374|skipped
1032240|Arcobacter thereius LMG 24486|GCF_001695395.1|strain=LMG 24486|active
1032240|Arcobacter thereius LMG 24486|GCF_004214815.1|strain=LMG 24486|skipped
1032241|Arcobacter trophiarum LMG 25534|GCF_003355515.1|strain=LMG 25534|active
1032241|Arcobacter trophiarum LMG 25534|GCF_004116585.1|strain=LMG 25534|skipped
103232|Streptomyces ipomoeae|GCF_006547165.1|strain=B12321|active
1032476|Nonomuraea soli|GCF_013761175.1|strain=DSM 45533|active
1032480|Microlunatus phosphovorus NM-1|GCF_000270245.1|strain=NM-1|active
1032488|Neisseria shayeganii 871|GCF_000226875.1|strain=871|active
1032623|Otariodibacter oris|GCF_003634665.1|strain=DSM 23800|active
1032623|Otariodibacter oris|GCF_009684715.1|strain=Baika1|skipped
1032845|Rickettsia heilongjiangensis 054|GCF_000221205.1|strain=054|active
1033730|Aeromicrobium massiliense JC14|GCF_000312105.1|strain=JC14|active
1033731|Alistipes timonensis JC136|GCF_900107675.1|strain=DSM 25383|active
1033732|Alistipes senegalensis JC50|GCF_000312145.1|strain=JC50|active
1033733|Anaerococcus senegalensis JC48|GCF_000321005.1|strain=type strain: JC17|active
1033734|Bacillus timonensis|GCF_000285535.1|strain=MM10403188|active
1033734|Bacillus timonensis|GCF_902374785.1||skipped
1033736|Brevibacterium senegalense|GCF_000285835.1|strain=JC43|active
1033737|Clostridium senegalense JC122|GCF_000285575.1|strain=type strain: JC122|active
1033739|Kurthia massiliensis|GCF_000285555.1|strain=JC30|active
1033740|Kurthia senegalensis|GCF_000285595.1|strain=type strain: JC8E|active
1033741|Microvirga massiliensis|GCF_001006805.1|strain=JC119|active
1033741|Microvirga massiliensis|GCF_001050495.1||skipped
1033743|Paenibacillus senegalensis JC66|GCF_000285515.1|strain=type strain: JC66|active
1033744|Peptoniphilus senegalensis JC140|GCF_000321025.1|strain=type strain: JC140|active
1033802|Salinisphaera shabanensis E1L3A|GCF_000215955.2|strain=E1L3A|active
1033810|Haloplasma contractile SSD-17B|GCF_000215935.2|strain=SSD-17B|active
1034345|Senegalimassilia anaerobia JC110|GCF_000236865.1|strain=type strain: JC110|active
1034346|Dielma fastidiosa|GCF_000313565.1|strain=JC13|active
1034346|Dielma fastidiosa|GCF_003475485.1|strain=AF31-27BH|skipped
1034347|Bacillus massiliosenegalensis JC6|GCF_000311725.1|strain=JC6|active
1034471|Xenorhabdus ishibashii|GCF_002632755.1|strain=DSM 22670|active
1034807|Flavobacterium branchiophilum FL-15|GCF_000253275.1|strain=FL-15|active
1034808|Mycoplasma anatis 1340|GCF_000221305.1|strain=1340|active
1034943|Legionella massiliensis|GCF_000756815.1|strain=LegA|active
1034944|Legionella tunisiensis|GCF_000308315.1|strain=LegM|active
1035184|Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377|GCF_000474135.1|strain=CCUG 46377|active
1035188|Haemophilus pittmaniae HK 85|GCF_000223275.1|strain=HK 85|active
1035196|Peptostreptococcus anaerobius VPI 4330 = DSM 2949|GCF_000318115.1|strain=VPI 4330|active
1035196|Peptostreptococcus anaerobius VPI 4330 = DSM 2949|GCF_000381525.1|strain=DSM 2949|skipped
1035707|Massilia namucuonensis|GCF_900116645.1|strain=CGMCC 1.11014|active
1035839|Haemophilus sputorum CCUG 13788|GCF_000238795.1|strain=CCUG 13788|active
1035|Afipia felis|GCF_900445155.1|strain=NCTC12499|active
1036020|Nocardioides soli|GCF_014191495.1|strain=DSM 105498|active
1036171|Paenibacillus polymyxa ATCC 842|GCF_000217775.1|strain=ATCC 842|active
1036180|Massilia lurida|GCF_007830455.1|strain=CGMCC 1.10822|active
1036181|Microlunatus flavus|GCF_900110855.1|strain=CGMCC 4.6856|active
1036182|Actinoplanes atraurantiacus|GCF_900215205.1|strain=CGMCC 4.6857|active
103621|Actinomyces urogenitalis|GCF_002861525.1|strain=UMB0319|active
1036672|Advenella kashmirensis WT001|GCF_000219915.2|strain=WT001|active
1036743|Rhodospirillum rubrum F11|GCF_000225955.1|strain=F11|active
1036778|Bosea lathyri|GCF_900108245.1|strain=DSM 26656|active
1036779|Bosea lupini|GCF_900109525.1|strain=LMG 26383,CCUG 61248,R- 45681|active
1036780|Bosea robiniae|GCF_900102525.1|strain=DSM 26672|active
103725|Kutzneria kofuensis|GCF_014203355.1|strain=DSM 43851|active
103732|Lentzea flava|GCF_014648475.1|strain=JCM 3296|active
103733|Saccharothrix syringae|GCF_000716755.1|strain=NRRL B-16468|active
103733|Saccharothrix syringae|GCF_009498035.1|strain=NRRL B-16468|skipped
103734|Saccharothrix texasensis|GCF_003752005.1|strain=DSM 44231|active
1037355|Parabacteroides chartae|GCF_900168155.1|strain=DSM 24967|active
1037362|Tropicibacter phthalicicus|GCF_004364805.1|strain=DSM 26923|active
1037377|Chryseobacterium viscerum|GCF_002899945.2|strain=687B-08|active
1037377|Chryseobacterium viscerum|GCF_008386485.1|strain=DPS|skipped
1037409|Bradyrhizobium japonicum USDA 6|GCF_000284375.1|strain=USDA 6|active
1037409|Bradyrhizobium japonicum USDA 6|GCF_000472985.1|strain=USDA 6|skipped
1037680|Bacillus kyonggiensis|GCF_005116465.1|strain=NB22|active
1037889|Profundibacterium mesophilum KAUST100406-0324|GCF_009835145.1|strain=KAUST100406-0324|active
1038014|Aquimarina amphilecti|GCF_900109375.1|strain=DSM 25232|active
103816|Rhodococcus pyridinivorans|GCF_001646805.1|strain=DSM 44555|active
103816|Rhodococcus pyridinivorans|GCF_900105195.1|strain=DSM 44555|skipped
103836|Thermopolyspora flexuosa|GCF_006716785.1|strain=DSM 43186|active
103836|Thermopolyspora flexuosa|GCF_014647775.1|strain=JCM 3056|skipped
103838|Nonomuraea turkmeniaca|GCF_005889735.1|strain=DSM 43926|active
103855|Bordetella hinzii|GCF_006770325.1|strain=SV2|active
103855|Bordetella hinzii|GCF_900637615.1|strain=NCTC13199|skipped
1038845|Flavobacterium rakeshii|GCF_009741375.1|strain=JCM 17928|active
1038856|Planococcus plakortidis|GCF_001687605.2|strain=DSM 23997|active
1038857|Kocuria sediminis|GCF_009735315.1|strain=JCM 17929|active
1038858|Azorhizobium doebereinerae UFLA1-100|GCF_000473085.1|strain=UFLA1-100|active
1038859|Bradyrhizobium murdochi|GCF_000472965.1|strain=WSM 1741|active
1038869|Paraburkholderia mimosarum LMG 23256 = NBRC 106338|GCF_000472825.1|strain=LMG 23256|active
1038869|Paraburkholderia mimosarum LMG 23256 = NBRC 106338|GCF_000739815.1|strain=NBRC 106338|skipped
103891|Veillonella criceti|GCF_900460315.1|strain=NCTC12020|active
1038929|Streptomyces xinghaiensis S187|GCF_000220705.2|strain=S187|active
103892|Veillonella ratti|GCF_003992115.1|strain=ATCC 17746|active
104087|Pseudomonas frederiksbergensis|GCF_900095355.1||active
1040979|Cupriavidus neocaledonicus|GCF_000372525.1|strain=STM6070|active
1040979|Cupriavidus neocaledonicus|GCF_900250125.1||skipped
104097|Acetobacter estunensis|GCF_011516945.1|strain=LMG 1626|active
1040983|Mesorhizobium erdmanii USDA 3471|GCF_000472705.1|strain=USDA 3471|active
104098|Acetobacter peroxydans|GCF_006539345.1|strain=NBRC 13755|active
104098|Acetobacter peroxydans|GCF_011516745.1|strain=LMG 1635|skipped
104099|Acetobacter orleanensis|GCF_001581005.1|strain=LMG 1583|active
104099|Acetobacter orleanensis|GCF_006539325.1|strain=NBRC 13752|skipped
104100|Acetobacter lovaniensis|GCF_011516875.1|strain=LMG 1617|active
104100|Acetobacter lovaniensis|GCF_014207635.1|strain=DSM 4491|skipped
104101|Acetobacter indonesiensis|GCF_000963945.1|strain=5H-1|active
104101|Acetobacter indonesiensis|GCF_002153515.1|strain=DmW_046|skipped
104101|Acetobacter indonesiensis|GCF_007991075.1|strain=NBRC 16471|skipped
104102|Acetobacter tropicalis|GCF_000787635.2|strain=NBRC 16470|active
104102|Acetobacter tropicalis|GCF_001580915.1|strain=LMG 19825|skipped
104102|Acetobacter tropicalis|GCF_001580945.1|strain=LMG 1663|skipped
104102|Acetobacter tropicalis|GCF_007989245.1|strain=NBRC 16470|skipped
1041139|Rhizobium giardinii bv. giardinii H152|GCF_000379605.1|strain=H152|active
1041147|Rhizobium leucaenae USDA 9039|GCF_000426285.1|strain=USDA 9039|active
1041147|Rhizobium leucaenae USDA 9039|GCF_014727215.1|strain=CFN 299|skipped
1041522|Mycobacterium colombiense CECT 3035|GCF_000222105.3|strain=CECT 3035|active
1041522|Mycobacterium colombiense CECT 3035|GCF_002105755.1|strain=CECT 3035|skipped
1041641|Jeongeupia chitinilytica|GCF_014652315.1|strain=KCTC 23701|active
1041766|Methylacidimicrobium cyclopophantes|GCF_902143385.2||active
1041768|Methylacidimicrobium tartarophylax|GCF_902143375.2||active
104205|Streptomonospora salina|GCF_014204715.1|strain=DSM 44593|active
1042375|Marinobacterium stanieri S30|GCF_000220545.1|strain=S30|active
1042376|Ochrovirga pacifica|GCF_000220525.1|strain=S85|active
1042417|Brachyspira pilosicoli P43/6/78|GCF_000325665.1|strain=P43/6/78|active
104268|Tenacibaculum mesophilum|GCF_003867075.1|strain=DSM 13764|active
104268|Tenacibaculum mesophilum|GCF_009362255.1|strain=DSM 13764|skipped
104268|Tenacibaculum mesophilum|GCF_900129475.1|strain=DSM 13764|skipped
1042878|Cupriavidus necator N-1|GCF_000219215.1|strain=N-1|active
1042984|Streptomyces zagrosensis|GCF_014203645.1|strain=CECT 8305|active
1043205|Serinicoccus profundi MCCC 1A05965|GCF_000224715.1|strain=MCCC 1A05965|active
104336|Microbacterium foliorum|GCF_000956415.1|strain=DSM 12966|active
104336|Microbacterium foliorum|GCF_003367705.1|strain=NRRL B-24224|skipped
1043493|Demequina mangrovi|GCF_000759715.1|strain=NBRC 105856|active
1043493|Demequina mangrovi|GCF_900109245.1|strain=DSM 24868|skipped
1044999|Erwinia tracheiphila PSU-1|GCF_000404125.1|strain=PSU-1|active
1044|Erythrobacter longus|GCF_000715015.1|strain=DSM 6997|active
1045004|Oenococcus kitaharae DSM 17330|GCF_000241055.1|strain=DSM 17330|active
1045004|Oenococcus kitaharae DSM 17330|GCF_000428085.1|strain=DSM 17330|skipped
1045317|Sphingomonas lutea|GCF_014396785.1|strain=KCTC 23642|active
1045558|Neptunomonas qingdaonensis|GCF_016082375.1|strain=P10-2-4|active
1045558|Neptunomonas qingdaonensis|GCF_900113275.1|strain=CGMCC 1.10971|skipped
1045773|Arthrobacter cupressi|GCF_013409905.1|strain=DSM 24664|active
1045773|Arthrobacter cupressi|GCF_900099975.1|strain=CGMCC 1.10783|skipped
1045774|Nocardioides lianchengensis|GCF_013409225.1|strain=CGMCC 4.6858|active
1045774|Nocardioides lianchengensis|GCF_900101465.1|strain=CGMCC 4.6858|skipped
1045775|Paenibacillus catalpae|GCF_900112695.1|strain=CGMCC 1.10784|active
1045776|Kutzneria buriramensis|GCF_003387475.1|strain=DSM 45791|active
1045855|Pseudoxanthomonas spadix BD-a59|GCF_000233915.3|strain=BD-a59|active
1045858|Brachyspira intermedia PWS/A|GCF_000223215.1|strain=PWS/A|active
104609|Vibrio penaeicida|GCF_003970425.1|strain=CAIM 285|active
1046115|Marivirga lumbricoides|GCF_014636295.1|strain=CGMCC 1.10832|active
104628|Helicobacter suis|GCF_017979375.1|strain=DSM 19735|active
1046556|Nocardioides daejeonensis|GCF_003194585.1|strain=MJ31|active
1046581|Chlamydia ibidis 10-1398/6|GCF_000454725.1|strain=10-1398/6|active
1046596|Lactobacillus mali KCTC 3596 = DSM 20444|GCF_000260415.1|strain=KCTC 3596|active
1046596|Lactobacillus mali KCTC 3596 = DSM 20444|GCF_000276905.1|strain=DSM 20444|skipped
1046596|Lactobacillus mali KCTC 3596 = DSM 20444|GCF_001436535.1|strain=DSM 20444|skipped
1046599|Lactobacillus acidipiscis KCTC 13900|GCF_000260635.1|strain=KCTC 13900|active
1046627|Bizionia argentinensis JUB59|GCF_000224335.1|strain=JUB59|active
104662|Chitinophaga japonensis|GCF_007830125.1|strain=DSM 13484|active
104663|Chitinophaga filiformis|GCF_900102545.1|strain=DSM 527|active
1046714|Gayadomonas joobiniege G7|GCF_000300815.1|strain=G7|active
1048205|Streptomyces uncialis|GCF_001905345.1|strain=DCA2648|active
1048245|Mycobacterium canettii CIPT 140010059|GCF_000253375.1|strain=CIPT 140010059|active
1048339|Sporichthya polymorpha DSM 43042|GCF_000384115.1|strain=DSM 43042|active
1048340|Marininema mesophilum|GCF_900106775.1|strain=DSM 45610|active
1048394|Compostimonas suwonensis|GCF_002797855.1|strain=DSM 25625|active
1048642|Aliidiomarina shirensis|GCF_003987345.1|strain=AIS|active
1048830|Mycoplasma iowae 695|GCF_000227355.1|strain=695|active
1048830|Mycoplasma iowae 695|GCF_009883755.1|strain=695|skipped
1048983|Anditalea andensis|GCF_000714815.1|strain=LY1|active
1048|Marichromatium gracile|GCF_004343155.1|strain=DSM 203|active
1048|Marichromatium gracile|GCF_016583515.1|strain=DSM 203|skipped
1049199|Litoreibacter meonggei|GCF_003663885.1|strain=DSM 29466|active
104955|Limosilactobacillus frumenti|GCF_008876665.1|strain=LF145|active
1049583|Kocuria indica|GCF_002237805.1|strain=DSM 25126|active
1049583|Kocuria indica|GCF_003667205.1|strain=NIO-1021|skipped
1049583|Kocuria indica|GCF_004328535.1|strain=CE7|skipped
1049583|Kocuria indica|GCF_900177335.1|strain=NIO-1021|skipped
1049584|Rhodococcus enclensis|GCF_001456965.1|strain=NIO-1009|retired_Oct21
1049584|Rhodococcus enclensis|GCF_900094765.1|strain=NIO-1009|retired_Oct21
1049759|Leptospira alexanderi serovar Manhao 3 str. L 60|GCF_000243815.2|strain=L 60|active
1049789|Leptospira broomii serovar Hurstbridge str. 5399|GCF_000243715.2|strain=5399|active
1049790|Leptospira inadai serovar Lyme str. 10|GCF_000243675.2|strain=10|active
1049942|Leptospira kirschneri serovar Cynopteri str. 3522 CT|GCF_000243695.2|strain=3522 CT|active
1049970|Leptospira kmetyi serovar Malaysia str. Bejo-Iso9|GCF_000243735.2|strain=Bejo-Iso9|active
1049971|Leptospira licerasiae str. MMD4847|GCF_000244715.1|strain=MMD4847|active
1049972|Leptospira licerasiae serovar Varillal str. VAR 010|GCF_000244755.1|strain=VAR 010|active
1050105|Actinoplanes rishiriensis|GCF_016862375.1|strain=NBRC 108556|active
1050107|Lactobacillus delbrueckii subsp. sunkii|GCF_001190005.1|strain=JCM 17838|active
1050107|Lactobacillus delbrueckii subsp. sunkii|GCF_001888965.1|strain=JCM 17838|skipped
1050153|Ornithinimicrobium murale|GCF_003352835.1|strain=DSM 22056|active
1050174|Corynebacterium epidermidicanis|GCF_001021025.1|strain=DSM 45586|active
1050199|Salinispora oceanensis|GCF_000383575.1|strain=DSM 45547|active
1050199|Salinispora oceanensis|GCF_000514455.1|strain=CNT-138|skipped
1050201|Allobaculum stercoricanis DSM 13633|GCF_000384195.1|strain=DSM 13633|active
1050202|Actinopolyspora mortivallis DSM 44261|GCF_000384035.1|strain=HS-1|active
1051074|Streptococcus thermophilus JIM 8232|GCF_000253395.1|strain=JIM 8232|active
1051139|Salinisphaera halophila YIM 95161|GCF_003732545.1|strain=YIM 95161|active
